Algorithm,Problem,ExecutionId,IndicatorName,IndicatorValue
MOEAD,ZDT1,0,GD,0.2590798459139622
MOEAD,ZDT1,0,EP,0.34638208608643495
MOEAD,ZDT1,0,HV,0.319081684940614
MOEAD,ZDT1,1,GD,0.1555590483413202
MOEAD,ZDT1,1,EP,0.24404536192084228
MOEAD,ZDT1,1,HV,0.44466140246503094
MOEAD,ZDT1,10,GD,0.3157566179214247
MOEAD,ZDT1,10,EP,0.42410142705096954
MOEAD,ZDT1,10,HV,0.258809740335759
MOEAD,ZDT1,11,GD,0.2713958165448796
MOEAD,ZDT1,11,EP,0.45564088920257195
MOEAD,ZDT1,11,HV,0.28497980761330977
MOEAD,ZDT1,12,GD,0.2787191434898679
MOEAD,ZDT1,12,EP,0.30032447991125816
MOEAD,ZDT1,12,HV,0.3159518039189435
MOEAD,ZDT1,13,GD,0.32715828782975975
MOEAD,ZDT1,13,EP,0.48070450530042425
MOEAD,ZDT1,13,HV,0.2319048261071374
MOEAD,ZDT1,14,GD,0.36826897231005584
MOEAD,ZDT1,14,EP,0.3516621434149278
MOEAD,ZDT1,14,HV,0.23075350464868022
MOEAD,ZDT1,15,GD,0.2774593871055632
MOEAD,ZDT1,15,EP,0.4338747753093927
MOEAD,ZDT1,15,HV,0.28319949739992517
MOEAD,ZDT1,16,GD,0.22065250418193608
MOEAD,ZDT1,16,EP,0.30100989783917037
MOEAD,ZDT1,16,HV,0.36900108554842026
MOEAD,ZDT1,17,GD,0.2947617466239244
MOEAD,ZDT1,17,EP,0.3566941903831973
MOEAD,ZDT1,17,HV,0.273762955274696
MOEAD,ZDT1,18,GD,0.4139092906203323
MOEAD,ZDT1,18,EP,0.5394383610839016
MOEAD,ZDT1,18,HV,0.16998307130897142
MOEAD,ZDT1,19,GD,0.18929608989106617
MOEAD,ZDT1,19,EP,0.3529577466056175
MOEAD,ZDT1,19,HV,0.3842549715402555
MOEAD,ZDT1,2,GD,0.2552520720339705
MOEAD,ZDT1,2,EP,0.29858947444813877
MOEAD,ZDT1,2,HV,0.33561823258031226
MOEAD,ZDT1,20,GD,0.32277519778218966
MOEAD,ZDT1,20,EP,0.40528530780114785
MOEAD,ZDT1,20,HV,0.24653255109526592
MOEAD,ZDT1,21,GD,0.2387686038591708
MOEAD,ZDT1,21,EP,0.39736997349399594
MOEAD,ZDT1,21,HV,0.3258327077233068
MOEAD,ZDT1,22,GD,0.3043644102924691
MOEAD,ZDT1,22,EP,0.476174579044453
MOEAD,ZDT1,22,HV,0.24778110697008032
MOEAD,ZDT1,23,GD,0.27397830988294425
MOEAD,ZDT1,23,EP,0.3659702060267064
MOEAD,ZDT1,23,HV,0.3078302104681433
MOEAD,ZDT1,24,GD,0.3170675580778069
MOEAD,ZDT1,24,EP,0.6114301240571189
MOEAD,ZDT1,24,HV,0.18657928968360038
MOEAD,ZDT1,25,GD,0.14760625682660058
MOEAD,ZDT1,25,EP,0.17957009052369827
